ID                                        0xb22b
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    31.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.424422
Delivery_location_longitude            85.402900
Order_Date                            06-03-2022
Time_Orderd                                21:55
Time_Order_picked                          22:05
Weather conditions                         Sunny
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       22.000000
Name: 10572, dtype: object
