ID                                        0x42d
Delivery_person_ID               PUNERES17DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   18.530963
Restaurant_longitude                  73.828972
Delivery_location_latitude            18.660963
Delivery_location_longitude           73.958972
Order_Date                           20-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         18:45
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    3.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      45.000000
Name: 9035, dtype: object
