ID                                    0xe198
Delivery_person_ID             BHPRES16DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                23.264015
Restaurant_longitude               77.408236
Delivery_location_latitude         23.304015
Delivery_location_longitude        77.448236
Order_Date                        15-02-2022
Time_Orderd                            12:25
Time_Order_picked                      12:35
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 35529, dtype: object
