ID                                     0x8cbf
Delivery_person_ID             CHENRES15DEL01
Delivery_person_Age                 36.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 13.026286
Restaurant_longitude                80.275235
Delivery_location_latitude          13.066286
Delivery_location_longitude         80.315235
Order_Date                         26-03-2022
Time_Orderd                             13:50
Time_Order_picked                       14:05
Weather conditions                     Stormy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 35959, dtype: object
