ID                                    0x748b
Delivery_person_ID             JAPRES18DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.913987
Restaurant_longitude               75.752891
Delivery_location_latitude         26.933987
Delivery_location_longitude        75.772891
Order_Date                        03-03-2022
Time_Orderd                            10:60
Time_Order_picked                      11:05
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   28.000000
Name: 38822, dtype: object
