ID                                       0x9a7d
Delivery_person_ID                JAPRES07DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   26.766536
Restaurant_longitude                  75.837333
Delivery_location_latitude            26.806536
Delivery_location_longitude           75.877333
Order_Date                           13-03-2022
Time_Orderd                               12:10
Time_Order_picked                         12:15
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 35121, dtype: object
