ID                                    0x73da
Delivery_person_ID             JAPRES04DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                26.902328
Restaurant_longitude               75.794257
Delivery_location_latitude         27.012328
Delivery_location_longitude        75.904257
Order_Date                        23-03-2022
Time_Orderd                            18:60
Time_Order_picked                      19:05
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 28187, dtype: object
