ID                                      0x86a
Delivery_person_ID             MYSRES010DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.321214
Restaurant_longitude                76.621094
Delivery_location_latitude          12.341214
Delivery_location_longitude         76.641094
Order_Date                         30-03-2022
Time_Orderd                               NaN
Time_Order_picked                       10:40
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                    10.000000
Name: 45253, dtype: object
