ID                                     0xde32
Delivery_person_ID             AURGRES16DEL01
Delivery_person_Age                     35.00
Delivery_person_Ratings                  4.70
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.04
Delivery_location_longitude              0.04
Order_Date                         13-02-2022
Time_Orderd                             13:20
Time_Order_picked                       13:25
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        33.00
Name: 1229, dtype: object
