ID                                       0x943d
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           04-04-2022
Time_Orderd                               23:60
Time_Order_picked                         24:10
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          27.00
Name: 23168, dtype: object
