ID                                      0x6c0f
Delivery_person_ID             COIMBRES11DEL01
Delivery_person_Age                  39.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.011753
Delivery_location_longitude          76.996241
Order_Date                          09-03-2022
Time_Orderd                              10:60
Time_Order_picked                        11:15
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 28471, dtype: object
