ID                                       0xd3e9
Delivery_person_ID                BHPRES17DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.218998
Restaurant_longitude                  77.373573
Delivery_location_latitude            23.238998
Delivery_location_longitude           77.393573
Order_Date                           15-02-2022
Time_Orderd                                9:60
Time_Order_picked                         10:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 19178, dtype: object
