ID                                        0xf04
Delivery_person_ID             RANCHIRES03DEL02
Delivery_person_Age                       21.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.13
Delivery_location_longitude                0.13
Order_Date                           27-03-2022
Time_Orderd                               19:40
Time_Order_picked                         19:50
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             1
Type_of_order                            Buffet
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          20.00
Name: 24229, dtype: object
