ID                                        0xa4b
Delivery_person_ID               CHENRES18DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.981615
Restaurant_longitude                  80.231598
Delivery_location_latitude            12.991615
Delivery_location_longitude           80.241598
Order_Date                           03-03-2022
Time_Orderd                                 NaN
Time_Order_picked                          9:40
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      11.000000
Name: 2198, dtype: object
