ID                                        0x57d
Delivery_person_ID                SURRES20DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   21.152760
Restaurant_longitude                  72.778059
Delivery_location_latitude            21.172760
Delivery_location_longitude           72.798059
Order_Date                           05-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:25
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 30159, dtype: object
