ID                                       0x2d3a
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       22.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           28-03-2022
Time_Orderd                                9:60
Time_Order_picked                         10:10
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        0.00
Festival                                     No
City                                      Urban
Time_taken (min)                          17.00
Name: 40625, dtype: object
