ID                                       0x908c
Delivery_person_ID             RANCHIRES20DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.529250
Delivery_location_longitude           85.520464
Order_Date                           12-03-2022
Time_Orderd                               18:25
Time_Order_picked                         18:40
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 15672, dtype: object
