ID                                    0xe1da
Delivery_person_ID             KOLRES03DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.526461
Restaurant_longitude               88.364453
Delivery_location_latitude         22.616461
Delivery_location_longitude        88.454453
Order_Date                        12-02-2022
Time_Orderd                            20:50
Time_Order_picked                      20:55
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   52.000000
Name: 37722, dtype: object
