ID                                       0x8532
Delivery_person_ID                MYSRES20DEL01
Delivery_person_Age                   26.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   12.337978
Restaurant_longitude                  76.616792
Delivery_location_latitude            12.447978
Delivery_location_longitude           76.726792
Order_Date                           12-03-2022
Time_Orderd                               18:35
Time_Order_picked                         18:40
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 2971, dtype: object
