ID                                    0x17dd
Delivery_person_ID             HYDRES16DEL02
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                17.440827
Restaurant_longitude               78.393391
Delivery_location_latitude         17.460827
Delivery_location_longitude        78.413391
Order_Date                        21-03-2022
Time_Orderd                            10:30
Time_Order_picked                      10:40
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 43446, dtype: object
