ID                                      0x6cd3
Delivery_person_ID             COIMBRES20DEL03
Delivery_person_Age                  30.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.084136
Delivery_location_longitude          77.053303
Order_Date                          16-03-2022
Time_Orderd                              18:45
Time_Order_picked                        18:60
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     38.000000
Name: 18867, dtype: object
