ID                                    0xc24f
Delivery_person_ID             KNPRES09DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                26.473698
Restaurant_longitude               80.352677
Delivery_location_latitude         26.563698
Delivery_location_longitude        80.442677
Order_Date                        16-02-2022
Time_Orderd                            19:55
Time_Order_picked                      20:10
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 5783, dtype: object
