ID                                    0x3c3b
Delivery_person_ID             VADRES03DEL01
Delivery_person_Age                    20.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.39
Delivery_location_longitude            73.24
Order_Date                        27-03-2022
Time_Orderd                            22:40
Time_Order_picked                      22:45
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       19.00
Name: 36734, dtype: object
