ID                                    0x9adc
Delivery_person_ID             VADRES19DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             3.700000
Restaurant_latitude                22.311844
Restaurant_longitude               73.165081
Delivery_location_latitude         22.391844
Delivery_location_longitude        73.245081
Order_Date                        02-03-2022
Time_Orderd                            22:35
Time_Order_picked                      22:40
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 33510, dtype: object
