ID                                       0x827b
Delivery_person_ID                MYSRES02DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   12.304569
Restaurant_longitude                  76.643622
Delivery_location_latitude            12.324569
Delivery_location_longitude           76.663622
Order_Date                           26-03-2022
Time_Orderd                               11:25
Time_Order_picked                         11:30
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      13.000000
Name: 14170, dtype: object
