ID                                    0x117f
Delivery_person_ID             VADRES11DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                22.308096
Restaurant_longitude               73.167753
Delivery_location_latitude         22.348096
Delivery_location_longitude        73.207753
Order_Date                        19-03-2022
Time_Orderd                            14:50
Time_Order_picked                      14:60
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   23.000000
Name: 25226, dtype: object
