ID                                    0x532c
Delivery_person_ID             JAPRES13DEL02
Delivery_person_Age                31.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                26.846156
Restaurant_longitude               75.802300
Delivery_location_latitude         26.926156
Delivery_location_longitude        75.882300
Order_Date                        31-03-2022
Time_Orderd                            17:30
Time_Order_picked                      17:40
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 11668, dtype: object
