ID                                        0x89a
Delivery_person_ID                MYSRES08DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.297954
Restaurant_longitude                  76.665169
Delivery_location_latitude            12.377954
Delivery_location_longitude           76.745169
Order_Date                           12-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         19:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      36.000000
Name: 11018, dtype: object
