ID                                        0x9d1
Delivery_person_ID               CHENRES07DEL01
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   13.081878
Restaurant_longitude                  80.248519
Delivery_location_latitude            13.121878
Delivery_location_longitude           80.288519
Order_Date                           03-04-2022
Time_Orderd                               16:45
Time_Order_picked                         16:50
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 11116, dtype: object
