ID                                       0x98f8
Delivery_person_ID             RANCHIRES15DEL02
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.369746
Restaurant_longitude                  85.339820
Delivery_location_latitude            23.419746
Delivery_location_longitude           85.389820
Order_Date                           17-03-2022
Time_Orderd                               19:25
Time_Order_picked                         19:30
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Buffet
Type_of_vehicle                      motorcycle
multiple_deliveries                    3.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      54.000000
Name: 3913, dtype: object
