ID                                    0x7ebc
Delivery_person_ID             SURRES17DEL01
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.149569
Restaurant_longitude               72.772697
Delivery_location_latitude         21.159569
Delivery_location_longitude        72.782697
Order_Date                        30-03-2022
Time_Orderd                            11:55
Time_Order_picked                      12:10
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 1999, dtype: object
