ID                                        0x8f6
Delivery_person_ID              COIMBRES04DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   11.024839
Restaurant_longitude                  77.007003
Delivery_location_latitude            11.054839
Delivery_location_longitude           77.037003
Order_Date                           03-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:35
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      10.000000
Name: 36433, dtype: object
