ID                                    0xc95f
Delivery_person_ID             KNPRES20DEL02
Delivery_person_Age                    21.00
Delivery_person_Ratings                 5.00
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.52
Delivery_location_longitude            80.40
Order_Date                        11-02-2022
Time_Orderd                            17:25
Time_Order_picked                      17:40
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       20.00
Name: 28510, dtype: object
