ID                                     0xcff4
Delivery_person_ID             AGRRES010DEL01
Delivery_person_Age                 38.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 27.163303
Restaurant_longitude                78.057044
Delivery_location_latitude          27.173303
Delivery_location_longitude         78.067044
Order_Date                         17-02-2022
Time_Orderd                             11:60
Time_Order_picked                       12:10
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 26413, dtype: object
