ID                                    0x8ce3
Delivery_person_ID             HYDRES09DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                17.431668
Restaurant_longitude               78.408321
Delivery_location_latitude         17.441668
Delivery_location_longitude        78.418321
Order_Date                        09-03-2022
Time_Orderd                             8:25
Time_Order_picked                       8:35
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                 NaN
City                           Metropolitian
Time_taken (min)                   11.000000
Name: 19733, dtype: object
