ID                                    0xce48
Delivery_person_ID             ALHRES07DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                25.449659
Restaurant_longitude               81.839744
Delivery_location_latitude         25.489659
Delivery_location_longitude        81.879744
Order_Date                        17-02-2022
Time_Orderd                            16:40
Time_Order_picked                      16:50
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 3118, dtype: object
