ID                                    0x7de5
Delivery_person_ID             MYSRES19DEL02
Delivery_person_Age                38.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                12.334022
Restaurant_longitude               76.618203
Delivery_location_latitude         12.354022
Delivery_location_longitude        76.638203
Order_Date                        21-03-2022
Time_Orderd                            10:50
Time_Order_picked                      10:55
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   23.000000
Name: 301, dtype: object
