ID                                    0xd73b
Delivery_person_ID             KNPRES02DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                26.471617
Restaurant_longitude               80.313564
Delivery_location_latitude         26.511617
Delivery_location_longitude        80.353564
Order_Date                        15-02-2022
Time_Orderd                            16:25
Time_Order_picked                      16:30
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   32.000000
Name: 19936, dtype: object
