ID                                       0xadc7
Delivery_person_ID             RANCHIRES14DEL03
Delivery_person_Age                       39.00
Delivery_person_Ratings                    4.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.06
Delivery_location_longitude                0.06
Order_Date                           26-03-2022
Time_Orderd                               21:50
Time_Order_picked                         21:60
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          28.00
Name: 21947, dtype: object
