ID                                       0x3bdd
Delivery_person_ID              COIMBRES15DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   11.006686
Restaurant_longitude                  76.951736
Delivery_location_latitude            11.116686
Delivery_location_longitude           77.061736
Order_Date                           31-03-2022
Time_Orderd                               18:60
Time_Order_picked                         19:05
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 31165, dtype: object
