ID                                       0x7dd7
Delivery_person_ID                JAPRES08DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   26.910262
Restaurant_longitude                  75.783013
Delivery_location_latitude            27.040262
Delivery_location_longitude           75.913013
Order_Date                           06-04-2022
Time_Orderd                               20:55
Time_Order_picked                         20:60
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      21.000000
Name: 341, dtype: object
