ID                                      0x7f06
Delivery_person_ID             COIMBRES09DEL01
Delivery_person_Age                  25.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  11.008638
Restaurant_longitude                 76.984311
Delivery_location_latitude           11.048638
Delivery_location_longitude          77.024311
Order_Date                          03-03-2022
Time_Orderd                              13:40
Time_Order_picked                        13:50
Weather conditions                       Sunny
Road_traffic_density                      High
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                    No
City                                Semi-Urban
Time_taken (min)                     52.000000
Name: 4197, dtype: object
