ID                                      0xb597
Delivery_person_ID             COIMBRES02DEL03
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  11.022477
Restaurant_longitude                 76.995667
Delivery_location_latitude           11.082477
Delivery_location_longitude          77.055667
Order_Date                          19-03-2022
Time_Orderd                              19:15
Time_Order_picked                        19:20
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   3.000000
Festival                                    No
City                                Semi-Urban
Time_taken (min)                     47.000000
Name: 39249, dtype: object
