ID                                    0xce59
Delivery_person_ID             KNPRES20DEL01
Delivery_person_Age                    20.00
Delivery_person_Ratings                 4.80
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.54
Delivery_location_longitude            80.42
Order_Date                        16-02-2022
Time_Orderd                            19:35
Time_Order_picked                      19:50
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       35.00
Name: 5863, dtype: object
