ID                                       0xd6db
Delivery_person_ID               AURGRES14DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   19.875016
Restaurant_longitude                  75.322405
Delivery_location_latitude            19.935016
Delivery_location_longitude           75.382405
Order_Date                           11-02-2022
Time_Orderd                               19:50
Time_Order_picked                         19:60
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      19.000000
Name: 19183, dtype: object
