ID                                     0xde81
Delivery_person_ID             LUDHRES14DEL03
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.892978
Restaurant_longitude                75.821847
Delivery_location_latitude          30.922978
Delivery_location_longitude         75.851847
Order_Date                         17-02-2022
Time_Orderd                             19:45
Time_Order_picked                       19:55
Weather conditions                     Cloudy
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 43570, dtype: object
