ID                                     0x5dcc
Delivery_person_ID             JAPRES010DEL03
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 26.921411
Restaurant_longitude                75.793604
Delivery_location_latitude          27.011411
Delivery_location_longitude         75.883604
Order_Date                         08-03-2022
Time_Orderd                             21:60
Time_Order_picked                       22:05
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    31.000000
Name: 6961, dtype: object
