ID                                    0xbef5
Delivery_person_ID             ALHRES19DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude               -25.457116
Restaurant_longitude              -81.859682
Delivery_location_latitude         25.537116
Delivery_location_longitude        81.939682
Order_Date                        16-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:60
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 33542, dtype: object
