ID                                       0xddcb
Delivery_person_ID               LUDHRES14DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   30.892978
Restaurant_longitude                  75.821847
Delivery_location_latitude            30.972978
Delivery_location_longitude           75.901847
Order_Date                           14-02-2022
Time_Orderd                               20:40
Time_Order_picked                         20:50
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 30070, dtype: object
