ID                                     0xbb2c
Delivery_person_ID             BANGRES04DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 12.980410
Restaurant_longitude                77.640489
Delivery_location_latitude          12.990410
Delivery_location_longitude         77.650489
Order_Date                         03-04-2022
Time_Orderd                              8:55
Time_Order_picked                        8:60
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 4808, dtype: object
