ID                                        0x7427
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    30.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.464422
Delivery_location_longitude            85.442900
Order_Date                            25-03-2022
Time_Orderd                                22:20
Time_Order_picked                          22:30
Weather conditions                        Stormy
Road_traffic_density                         Low
Vehicle_condition                              2
Type_of_order                             Drinks
Type_of_vehicle                          scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       20.000000
Name: 335, dtype: object
