ID                                       0x33dd
Delivery_person_ID                HYDRES16DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   17.440827
Restaurant_longitude                  78.393391
Delivery_location_latitude            17.500827
Delivery_location_longitude           78.453391
Order_Date                           30-03-2022
Time_Orderd                               20:55
Time_Order_picked                         20:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 10491, dtype: object
