ID                                    0xd2fc
Delivery_person_ID             ALHRES12DEL01
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                25.443994
Restaurant_longitude               81.860187
Delivery_location_latitude         25.513994
Delivery_location_longitude        81.930187
Order_Date                        14-02-2022
Time_Orderd                            18:40
Time_Order_picked                      18:50
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   43.000000
Name: 2641, dtype: object
