ID                                       0xcb3c
Delivery_person_ID                KOCRES12DEL03
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                    9.988483
Restaurant_longitude                  76.295211
Delivery_location_latitude            10.078483
Delivery_location_longitude           76.385211
Order_Date                           18-02-2022
Time_Orderd                               22:35
Time_Order_picked                         22:50
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 18271, dtype: object
