ID                                     0xd3cf
Delivery_person_ID             AURGRES20DEL02
Delivery_person_Age                     22.00
Delivery_person_Ratings                  5.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.05
Delivery_location_longitude              0.05
Order_Date                         15-02-2022
Time_Orderd                             21:45
Time_Order_picked                       21:50
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        18.00
Name: 23212, dtype: object
