ID                                     0x9cdf
Delivery_person_ID             INDORES15DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.760072
Restaurant_longitude                75.892574
Delivery_location_latitude          22.870072
Delivery_location_longitude         76.002574
Order_Date                         06-03-2022
Time_Orderd                             18:50
Time_Order_picked                       18:60
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 33848, dtype: object
