ID                                        0xc2e
Delivery_person_ID             RANCHIRES16DEL02
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.421292
Delivery_location_longitude           85.377872
Order_Date                           01-03-2022
Time_Orderd                               21:15
Time_Order_picked                         21:30
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 27653, dtype: object
