ID                                       0x6f9b
Delivery_person_ID             RANCHIRES02DEL02
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           11-03-2022
Time_Orderd                               10:10
Time_Order_picked                         10:25
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                        1.00
Festival                                     No
City                                        NaN
Time_taken (min)                          21.00
Name: 27670, dtype: object
