ID                                     0x3ec8
Delivery_person_ID             MYSRES010DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.321214
Restaurant_longitude                76.621094
Delivery_location_latitude          12.331214
Delivery_location_longitude         76.631094
Order_Date                         03-04-2022
Time_Orderd                              9:35
Time_Order_picked                        9:40
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    19.000000
Name: 41395, dtype: object
