ID                                        0x3f2
Delivery_person_ID               BANGRES02DEL02
Delivery_person_Age                   15.000000
Delivery_person_Ratings                1.000000
Restaurant_latitude                   12.970221
Restaurant_longitude                  77.645396
Delivery_location_latitude            13.050221
Delivery_location_longitude           77.725396
Order_Date                           02-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:45
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      20.000000
Name: 34403, dtype: object
