ID                                      0xcec0
Delivery_person_ID             AURGRES010DEL01
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  19.875337
Restaurant_longitude                 75.316722
Delivery_location_latitude           19.945337
Delivery_location_longitude          75.386722
Order_Date                          12-02-2022
Time_Orderd                              19:25
Time_Order_picked                        19:35
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     27.000000
Name: 22447, dtype: object
