ID                                     0x2cb0
Delivery_person_ID             PUNERES03DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 18.554382
Restaurant_longitude                73.798206
Delivery_location_latitude          18.594382
Delivery_location_longitude         73.838206
Order_Date                         03-03-2022
Time_Orderd                             15:40
Time_Order_picked                       15:50
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    16.000000
Name: 30331, dtype: object
