ID                                      0xb92e
Delivery_person_ID             COIMBRES20DEL01
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.000000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.064136
Delivery_location_longitude          77.033303
Order_Date                          12-03-2022
Time_Orderd                              20:15
Time_Order_picked                        20:25
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     36.000000
Name: 4385, dtype: object
