ID                                       0xbb37
Delivery_person_ID               INDORES11DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.751234
Restaurant_longitude                  75.889490
Delivery_location_latitude            22.791234
Delivery_location_longitude           75.929490
Order_Date                           09-03-2022
Time_Orderd                               12:10
Time_Order_picked                         12:25
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 33192, dtype: object
